timestamp,event,mode,ticker,side,entry_price,qty,time_left,btc_price,strike,raw_yes_bid,raw_no_bid,ask_yes,ask_no,spread,yes_liq,no_liq,obi,bankroll,rolling_24h_loss,ml_direction,ml_confidence,ml_proba_up,ml_tau,ml_birth_ts,signal_age_min,ob_stale,ob_last_delta_age,ws_connected,filter_reason,order_id,client_order_id,order_status,kalshi_fill_qty,kalshi_fill_price,kalshi_fill_cost,kalshi_fees,stop_trail,stop_best_bid,stop_active,settlement_source,btc_price_at_settlement,gross_proceeds,gross_cost,net_fees,pnl_this_trade,reconcile_estimated_pnl,reconcile_actual_pnl,reconcile_delta,msg
2026-04-29 19:18:46.624293,BALANCE_SYNC,LIVE,,,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,4.99,0,,0.0,0.0,0.0,0,0.0,1,9999.0,0,,,,,0,0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kalshi confirmed balance: $4.99
2026-04-29 19:18:47.764243,HRTBT,LIVE,KXBTC15M-26APR291530-30,,0,0,11.2,0.0,75507.84,47,42,58,53,11,800.0,15.0,0.963,4.99,0,,0.0,0.0,0.0,0.0,999.0,0,0.0,1,,,,,0,0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-04-29 19:18:57.857591,HRTBT,LIVE,KXBTC15M-26APR291530-30,,0,0,11.04,75525.65,75507.84,57,41,59,43,2,3769.85,4499.889999999999,-0.088,4.99,0,,0.0,0.0,0.0,0.0,999.0,0,0.1,1,,,,,0,0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-04-29 19:19:07.872017,HRTBT,LIVE,KXBTC15M-26APR291530-30,,0,0,10.87,75539.2,75507.84,60,38,62,40,2,3821.23,3743.05,0.01,4.99,0,,0.0,0.0,0.0,0.0,999.0,0,0.2,1,,,,,0,0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-04-29 19:19:17.937208,HRTBT,LIVE,KXBTC15M-26APR291530-30,,0,0,10.7,75536.02,75507.84,60,39,61,40,1,3919.1400000000003,4471.099999999999,-0.066,4.99,0,,0.0,0.0,0.0,0.0,999.0,0,0.5,1,,,,,0,0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-04-29 19:19:27.950248,HRTBT,LIVE,KXBTC15M-26APR291530-30,,0,0,10.53,75529.64,75507.84,59,40,60,41,1,3957.7599999999998,3742.14,0.028,4.99,0,,0.0,0.0,0.0,0.0,999.0,0,0.0,1,,,,,0,0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-04-29 19:19:37.961048,HRTBT,LIVE,KXBTC15M-26APR291530-30,,0,0,10.37,75505.32,75507.84,60,49,51,40,-9,1429.4199999999996,4157.570000000001,-0.488,4.99,0,,0.0,0.0,0.0,0.0,999.0,0,0.0,1,,,,,0,0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-04-29 19:19:47.972288,HRTBT,LIVE,KXBTC15M-26APR291530-30,,0,0,10.2,75502.27,75507.84,50,49,51,50,1,3757.9600000000005,3996.4800000000005,-0.031,4.99,0,,0.0,0.0,0.0,0.0,999.0,0,0.0,1,,,,,0,0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-04-29 19:19:57.982079,HRTBT,LIVE,KXBTC15M-26APR291530-30,,0,0,10.03,75502.27,75507.84,50,51,49,50,-1,3860.4500000000007,3656.2200000000003,0.027,4.99,0,,0.0,0.0,0.0,0.0,999.0,0,0.0,1,,,,,0,0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-04-29 19:20:07.997935,HRTBT,LIVE,KXBTC15M-26APR291530-30,,0,0,9.87,75507.38,75507.84,51,47,53,49,2,3826.2599999999993,4265.030000000001,-0.054,4.99,0,,0.0,0.0,0.0,0.0,999.0,0,0.0,1,,,,,0,0,0.0,0.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
